2023-07-05 19:00:35.236 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-05 19:00:35.237 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-05 19:00:35.237 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-05 19:00:47.273 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-07-05 19:00:47.279 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-05 19:00:47.280 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-05 19:00:47.280 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-20 20:35:54.546 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-07-20 20:35:54.559 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-20 20:35:54.560 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-20 20:35:54.560 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-20 20:36:33.580 | ERROR    | logs_system:post:44 - Invalid token
2023-07-20 20:36:33.584 | INFO     | logs_system:post:45 - Invalid token
2023-07-20 20:36:33.586 | WARNING  | logs_system:post:47 - Invalid token
2023-07-20 20:36:33.587 | DEBUG    | logs_system:post:48 - Invalid token
2023-07-22 17:59:28.823 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-07-22 17:59:28.834 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-22 17:59:28.834 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-22 17:59:28.834 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-22 17:59:36.102 | ERROR    | logs_system:post:44 - Invalid token
2023-07-22 17:59:36.108 | INFO     | logs_system:post:45 - Invalid token
2023-07-22 17:59:36.109 | WARNING  | logs_system:post:47 - Invalid token
2023-07-22 17:59:36.110 | DEBUG    | logs_system:post:48 - Invalid token
2023-07-28 16:23:17.409 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-07-28 16:23:17.422 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 16:23:17.425 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 16:23:17.425 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:40.353 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-07-28 18:31:40.364 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:40.364 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:40.365 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:50.535 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Danya'}
2023-07-28 18:31:50.540 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:50.541 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 18:31:50.544 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:19.194 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Danya'}
2023-07-28 18:37:19.200 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:19.201 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:19.201 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:23.128 | ERROR    | logs_system:post:44 - Invalid token
2023-07-28 18:37:23.130 | INFO     | logs_system:post:45 - Invalid token
2023-07-28 18:37:23.131 | WARNING  | logs_system:post:47 - Invalid token
2023-07-28 18:37:23.132 | DEBUG    | logs_system:post:48 - Invalid token
2023-07-28 18:37:30.836 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Danya'}
2023-07-28 18:37:30.841 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:30.841 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:30.842 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:33.437 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Danya'}
2023-07-28 18:37:33.438 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:33.439 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-07-28 18:37:33.440 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-09 14:55:43.080 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Igor the best'}
2023-08-09 14:55:43.094 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-09 14:55:43.094 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-09 14:55:43.094 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-09 23:39:33.277 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'Artem'}
2023-08-09 23:39:33.290 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-09 23:39:33.290 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-09 23:39:33.291 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-09 23:42:22.642 | ERROR    | logs_system:post:44 - Invalid token
2023-08-09 23:42:22.651 | INFO     | logs_system:post:45 - Invalid token
2023-08-09 23:42:22.652 | WARNING  | logs_system:post:47 - Invalid token
2023-08-09 23:42:22.652 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-14 15:55:46.734 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-14 15:55:46.739 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-14 15:55:46.740 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-14 15:55:46.741 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-14 15:58:52.938 | ERROR    | logs_system:post:44 - Invalid token
2023-08-14 15:58:52.942 | INFO     | logs_system:post:45 - Invalid token
2023-08-14 15:58:52.942 | WARNING  | logs_system:post:47 - Invalid token
2023-08-14 15:58:52.943 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-17 16:47:44.031 | DEBUG    | logs_system:post:52 - POST params: {'mentor': 'igor'}
2023-08-17 16:47:44.039 | ERROR    | logs_system:post:53 - GET params: ImmutableMultiDict([])
2023-08-17 16:47:44.040 | INFO     | logs_system:post:54 - GET params: ImmutableMultiDict([])
2023-08-17 16:47:44.040 | WARNING  | logs_system:post:56 - GET params: ImmutableMultiDict([])
2023-08-17 16:47:59.113 | ERROR    | logs_system:post:44 - Invalid token
2023-08-17 16:47:59.121 | INFO     | logs_system:post:45 - Invalid token
2023-08-17 16:47:59.126 | WARNING  | logs_system:post:47 - Invalid token
2023-08-17 16:47:59.127 | DEBUG    | logs_system:post:48 - Invalid token
2023-08-18 11:00:34.337 | DEBUG    | logs_system:get:27 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH'), ('Content-Type', 'application/json')])
2023-08-18 11:00:34.345 | ERROR    | logs_system:get:28 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH'), ('Content-Type', 'application/json')])
2023-08-18 11:00:34.345 | INFO     | logs_system:get:29 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH'), ('Content-Type', 'application/json')])
2023-08-18 11:00:34.346 | WARNING  | logs_system:get:31 - GET params: ImmutableMultiDict([('qastudiotoken', 'AERH23HHAEJJHJHHJJH'), ('Content-Type', 'application/json')])
2023-08-18 11:02:38.256 | ERROR    | logs_system:post:44 - Invalid token
2023-08-18 11:02:38.264 | INFO     | logs_system:post:45 - Invalid token
2023-08-18 11:02:38.264 | WARNING  | logs_system:post:47 - Invalid token
2023-08-18 11:02:38.264 | DEBUG    | logs_system:post:48 - Invalid token
